epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,619.912,1.17109,2.45594,1.68556,0.76193,0.238,0.6682,0.28214,1.53255,3.7105,2.05593,0.000467673,0.000467673,0.000467673
2,1248.85,1.14581,1.63789,1.58123,0.51534,0.564,0.64006,0.28687,1.59897,2.76508,2.1019,0.000925315,0.000925315,0.000925315
3,1940.21,1.12747,1.44425,1.56347,0.62381,0.178,0.32485,0.17026,1.82503,4.17798,2.60174,0.00136409,0.00136409,0.00136409
4,2581.71,1.11735,1.30247,1.54021,0.74962,0.71424,0.77312,0.41674,1.75393,2.12284,2.07804,0.00134412,0.00134412,0.00134412
5,3158.83,1.13864,1.18243,1.54365,0.89117,0.546,0.72313,0.28948,2.11303,2.2498,2.42569,0.00131582,0.00131582,0.00131582
6,3734.77,1.06734,1.07953,1.49893,0.69999,0.87481,0.75007,0.39221,1.51901,1.67,1.9629,0.00128753,0.00128753,0.00128753
7,4302.48,1.05882,1.01069,1.49142,0.88979,0.86183,0.90796,0.50657,1.49706,1.31495,1.87484,0.00125923,0.00125923,0.00125923
8,4875.59,1.02676,0.94903,1.46411,0.91155,0.8628,0.90942,0.45565,1.41893,1.34696,1.66934,0.00123094,0.00123094,0.00123094
9,5460.18,1.02362,0.94743,1.47527,0.85814,0.894,0.91413,0.48223,1.46824,1.15394,2.04243,0.00120265,0.00120265,0.00120265
10,6023.2,0.99732,0.85822,1.45807,0.82447,0.812,0.89272,0.55866,1.27113,1.21767,1.66429,0.00117435,0.00117435,0.00117435
11,6587.55,1.02723,0.89284,1.4632,0.72063,0.90685,0.9281,0.54917,1.32107,1.18488,1.63925,0.00114606,0.00114606,0.00114606
12,7150.87,0.98757,0.8344,1.42291,0.83755,0.89,0.8993,0.5344,1.38562,1.10987,1.68303,0.00111776,0.00111776,0.00111776
